,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
123,14.27,-4.219,-4.5717,-4.568,-3.7705,-4.5337,-4.814,-6.6459,-7.5628,-8.7347,-3.9224,-3.9821,-3.5137,-4.3583,3.8791,-4.3528
124,14.27,-4.682,,,,,,,,,,,,,,
125,14.27,-4.7254,-5.1666,-5.1486,-4.3402,-5.2426,-5.5663,-7.5809,-9.0042,-8.1705,-5.7725,-4.1774,-4.2642,-3.2063,44.3649,-4.937
126,14.27,-4.8194,-5.0183,-5.0093,-4.2443,-5.1865,-5.55,-7.7871,-8.8667,-9.431,-4.7923,-4.1286,-3.7958,-4.2624,48.2404,-4.9713
127,14.24,-4.8013,-5.0491,-5.2155,-4.4017,-5.3023,-5.6477,-8.203,-9.0024,-11.4094,-2.9712,-3.9984,-2.7849,-6.0781,50.0,-4.8375
128,14.24,-4.5355,-4.9822,-4.9532,-4.1901,-5.0563,-5.4216,-7.4923,-8.6316,-8.5683,-5.1847,-4.0816,-3.9025,-5.1088,41.9361,-6.2119
129,14.24,-4.7742,-4.9768,-5.1974,-4.38,-5.2878,-5.6206,-8.1904,-8.9752,-11.2937,-2.9856,-3.9568,-2.671,-7.174,,-5.6911
130,14.24,-4.8845,-5.107,-5.2661,-4.4396,-5.3222,-5.6513,-8.2374,-9.0241,-11.3353,-3.1828,-3.9749,-2.8753,-5.4632,,-4.1991
131,14.24,-4.7778,-5.0509,-5.2028,-4.427,-5.3511,-5.6784,-8.2681,-9.0476,-11.0513,-3.2153,-4.0291,-2.9097,-5.6965,,-4.3637
132,14.24,-4.8556,-5.1395,-5.2968,-4.4433,-5.3493,-5.6766,-8.241,-9.0946,-11.3081,-3.1846,-4.0128,-2.8084,-5.1793,,-3.908
133,14.24,-4.7435,-4.9822,-5.1847,-4.4089,-5.3185,-5.6549,-8.1036,-8.9644,-11.0333,-3.1936,-3.9658,-2.9314,-6.2155,,-4.8628
134,14.21,-4.7453,-5.0183,-5.0545,-4.2425,-5.1178,-5.4162,-7.5249,-8.6805,-8.2699,-5.6206,-4.2624,-4.1919,-2.2659,36.4565,-4.1015
135,14.21,-4.5934,-5.031,-5.0798,-4.3004,-5.0997,-5.3511,-7.438,-8.5376,-8.9047,-4.9189,-4.0725,-3.8826,-6.1233,45.5512,-6.9896
136,14.21,-4.767,-5.0636,-5.0889,-4.3149,-5.2462,-5.5826,-7.8359,-9.0801,-8.5575,-5.277,-4.1141,-3.9839,-2.6475,39.5038,-3.9948
137,14.21,-4.3691,-4.8502,-4.9623,-4.1666,-4.7977,-5.0654,-6.8413,-8.1379,-7.2319,-5.8557,-4.0526,-4.3239,-3.6946,12.2957,-5.7725
138,14.21,-4.6838,-4.9768,-5.1106,-4.2371,-4.9623,-5.1847,-7.1885,-8.2754,-8.2356,-4.9659,-4.0816,-3.9188,-3.4631,37.8364,-4.4288
139,14.21,-4.7344,-4.9008,-5.1486,-4.3565,-5.2372,-5.5862,-7.8902,-8.9282,-10.6878,-3.4287,-4.0309,-3.0942,-7.1324,,-6.362
140,14.21,-4.3384,-4.6548,-4.6458,-3.8067,-4.5518,-4.9225,-6.2499,-7.8667,-7.1342,-5.9063,-4.0508,-4.4378,-3.0526,-2.2731,-4.7887
141,14.21,-4.4415,-4.7869,-4.7688,-4.0092,-4.8303,-5.1359,-6.8069,-8.1958,-7.731,-5.5826,-4.1105,-4.4396,-3.266,19.5729,-4.9966
142,14.26,-4.8664,-5.0672,-5.192,-4.3565,-5.2516,-5.5808,-7.9715,-9.0078,-10.0567,-4.3094,,-3.2497,-4.0165,49.3453,-4.1738
143,14.26,-4.7525,,,,,,,,,,,,,,
144,14.26,-4.5192,,,,,,,,,,,,,,
145,14.26,-4.8881,-5.0744,-5.2245,-4.4089,-5.3167,-5.6622,-8.1687,-9.0584,-10.8922,-3.5463,-4.1069,-3.1358,-4.0617,50.0,-3.3184
146,14.26,-4.5355,,,,,,,,,,,,,,
147,14.26,-4.8303,-5.0997,-5.2408,-4.4179,-5.3077,-5.6079,-7.807,-8.9807,-9.5702,-4.6151,-4.1268,-3.7922,-4.9496,48.9421,-5.4524
148,14.26,-4.7055,,,,,,,,,,,,,,
149,14.26,-4.8357,-5.125,-5.2372,-4.3456,-5.201,-5.5464,-7.76,-8.883,-9.563,-4.5879,-4.096,-3.8103,-2.897,42.5076,-3.4522
150,14.22,-4.8447,-5.0599,-5.2661,-4.4415,-5.3728,-5.6965,-8.3531,-9.1109,-11.4781,-3.0272,-3.9984,-2.9151,-5.8611,,-4.4668
151,14.22,-4.6042,-5.069,-4.9641,-4.1123,-4.9695,-5.2625,-7.1867,-8.3784,-7.2789,-5.9624,-4.1684,-4.4035,-3.2189,34.7729,-5.5319
152,14.22,-4.8827,-5.0654,-5.2661,-4.4487,-5.3384,-5.6965,-8.2717,-9.0964,-11.2901,-3.1918,-4.0074,-2.9242,-5.3403,,-4.266
153,14.22,-4.6928,,,,,,,,,,,,,,
154,14.22,-4.8411,-5.0925,-5.2426,-4.4216,-5.3475,-5.6929,-8.0746,-9.1525,-10.3135,-3.9875,-4.0526,-3.3546,-5.4307,49.5624,-5.3981
155,14.22,-4.5301,-4.8701,-4.7796,-4.1431,-5.0003,-5.248,-6.9896,-8.4146,-7.3711,-5.805,-4.1449,-4.3944,-3.1285,22.6906,-5.3728
